curso,grupo_tcc,no_corpus,periodo,ordem_periodo,egressos_acumulado,fonte
Letras — Hab. Francês (antiga),Letras,Sim,Até 2002.2,1,12,PROEG
Letras — Hab. Francês (antiga),Letras,Sim,2003–2008.2,2,12,PROEG
Letras — Hab. Francês (antiga),Letras,Sim,2009–2014.2,3,27,PROEG
Letras — Hab. Francês (antiga),Letras,Sim,2015–2020.2,4,27,PROEG
Letras — Hab. Francês (antiga),Letras,Sim,2021–2025.1,5,27,PROEG
Artes Visuais,Artes Visuais,Sim,2025.2,6,79,DTI 2026-07-10
Ciências Biológicas (L),Ciências Biológicas,Sim,2025.2,6,361,DTI 2026-07-10
Física,Física,Sim,2025.2,6,122,DTI 2026-07-10
Geografia (L),Geografia,Sim,2025.2,6,485,DTI 2026-07-10
História (L),História,Sim,2025.2,6,615,DTI 2026-07-10
Insikiran — Ciências Sociais,Insikiran,Sim,2025.2,6,155,DTI 2026-07-10
Insikiran — Ciências da Natureza,Insikiran,Sim,2025.2,6,182,DTI 2026-07-10
Insikiran — Comunicação e Artes,Insikiran,Sim,2025.2,6,235,DTI 2026-07-10
LEDUCARR — Ciências Humanas e Sociais,LEDUCARR,Sim,2025.2,6,67,DTI 2026-07-10
LEDUCARR — Ciências da Natureza e Matemática,LEDUCARR,Sim,2025.2,6,87,DTI 2026-07-10
Letras — Espanhol (nova estrutura),Letras,Sim,2025.2,6,41,PROEG (carregado)
Letras — Francês (nova estrutura),Letras,Sim,2025.2,6,20,PROEG (carregado)
Letras — Hab. Espanhol (antiga),Letras,Sim,2025.2,6,123,PROEG (carregado)
Letras — Hab. Francês (antiga),Letras,Sim,2025.2,6,27,PROEG (carregado)
Letras — Hab. Inglês (antiga),Letras,Sim,2025.2,6,92,PROEG (carregado)
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2025.2,6,289,PROEG (carregado)
Letras — Inglês (nova estrutura),Letras,Sim,2025.2,6,46,PROEG (carregado)
Letras — Português (nova estrutura),Letras,Sim,2025.2,6,50,PROEG (carregado)
Matemática (L),Matemática,Sim,2025.2,6,236,DTI 2026-07-10
Música,Música,Sim,2025.2,6,46,DTI 2026-07-10
Pedagogia,Pedagogia,Sim,2025.2,6,931,DTI 2026-07-10
Química,Química,Sim,2025.2,6,334,DTI 2026-07-10
Letras — Português/Inglês (nova estrutura),Letras,Não,2025.2,6,2,"DTI 2026-07-10 (habilitação nova, não reconciliada com PROEG)"
