id,grupo_tcc,titulo,autor,orientador,pesquisador,ano_defesa,curso_fonte
108,Música,A COLABORAÇÃO PIANÍSTICA NO CORO DA IGREJA BATISTA REGULAR DE BOA VISTA: COMPETÊNCIAS EXERCIDAS NO DIA A DIA,LUIZ ANDRADE DE SOUZA FILHO,Prof. Me. Rafael Friesen,Karimy Manuelle da Silva Balbino,2019,Música
96,Música,ENSINO COLETIVO DE VIOLÃO NA ORQUESTRA DE VIOLÕES DO INSTITUTO BOA VISTA DE MÚSICA (IBVM): UM ESTUDO DE CASO,ADERVAL DA ROCHA FERREIRA NETO,Prof. Dr. Rafael Branquinho Abdala Norberto.,Bianca de Jesus Ramos,2025,Música
95,Música,MÚSICAS REGIONALISTAS DO FESTIVAL CANTO FORTE: ATIVIDADES PARA O ENSINO DE MÚSICA NA EDUCAÇÃO BÁSICA,ANDRESSA SOUSA DO NASCIMENTO,Orientador: Prof. Dr. Jefferson Tiago de Souza Mendes da Silva,Bianca de Jesus Ramos,2021,Música
94,Música,Práticas de canto no Curso de Licenciatura em Música da UFRR: impactos na atuação do licenciado,Victória Emanuelle Neves de Luna,Jéssica de Almeida,BIANCA DE JESUS RAMOS,2019,Música
93,Música,A PRODUÇÃO CIENTÍFICA DE EDUCAÇÃO MUSICAL SOB O ENFOQUE DAS POLÍTICAS PÚBLICAS DE INCLUSÃO,MARIA DA GLÓRIA DE SOUZA LIMA,Prof. Dra. Jessica de Almeida,Jelynne Ewellyn Felipe Pinto,2019,Música
92,Música,O EMPRÉSTIMO MODAL RECORRENTE NO POP ROCK DOS ANOS 1980,CELSO HENRIQUE VIEIRA DE LIMA,Prof. M.a. Jéssica de Almeida,Jelynne Ewellyn Felipe PInto,2017,Música
91,Música,"""IMPORTA SIM QUE PENSEMOS JUNTOS SOBRE EDUCAÇÃO MUSICAL”: REFLEXÕES SOBRE AULAS DE MÚSICA NA EDUCAÇÃO INFANTIL",ANA PAULA SILVA OLIVEIRA ACQUATI DE LIMA,Prof. Dra. Jéssica de Almeida,Jelynne Ewellyn Felipe Pinto,2019,Música
97,Música,FESTIVAL FOLCLÓRICO DE CARACARAÍ: A PERCUSSÃO NOS GRUPOS COBRA MARIANA E GAVIÃO CARACARÁ,ALEXANDER ANTONY DE OLIVEIRA,Jefferson Tiago de Souza Mendes da Silva,Bianca de Jesus Ramos,2021,Música
90,Música,ENSINO E APRENDIZAGEM DE MÚSICA ATRAVÉS DE PRÁTICAS DE CANTO CORAL NA IGREJA BATISTA REGULAR DE BOA VISTA (RR): UM ESTUDO ETNOGRÁFICO,MISSARA FRANÇA ISRAEL,Prof. Dr. Rafael Branquinho Abdala Norberto.,Jelynne Ewellyn Felipe Pinto,2024,Música
89,Música,AULAS DE PIANO EM GRUPO NO MÉTODO SUZUKI: UMA ANÁLISE NO ESTÚDIO SUZUKI DE EDUCAÇÃO MUSICAL EM BOA VISTA,VIVIAN FRANCO DINIZ,Prof. M.E. Rafael Ricardo Friesen,Jelynne Ewellyn Felipe Pinto,2019,Música
